,,,文学,报刊,多领域,微博,学术,古汉语,篇章检索,HSK,BCC,总数（无微博）
太液芙蓉未央柳。,,太液芙蓉未央柳。,1,0,5,1,2,11,4,0,24,23
芙蓉如面柳如眉，,,芙蓉如面柳如眉，,0,2,22,16,8,54,14,0,116,100
對此如何不淚垂。,,对此如何不泪垂。,0,0,13,4,5,29,4,0,55,51
春風桃李花開日，,,春风桃李花开夜，,0,0,0,1,0,17,0,0,18,17
秋雨梧桐葉落時。,,秋雨梧桐叶落时。,0,0,9,39,5,34,2,0,89,50
西宮南內多秋草，,,西宫南苑多秋草，,0,0,0,0,0,13,0,0,13,13
落葉滿階紅不掃。,,落叶满阶红不扫。,0,0,6,7,0,7,1,0,21,14
梨園弟子白髮新，,,梨园弟子白发新，,0,0,0,0,0,12,0,0,12,12
椒房阿監青娥老。,,椒房阿监青娥老。,0,0,1,0,0,16,0,0,17,17
夕殿螢飛思悄然，,,夕殿萤飞思悄然，,1,0,5,0,3,29,1,0,39,39
孤燈挑盡未成眠。,,孤灯挑尽未成眠。,0,1,6,0,4,23,2,0,36,36
遲遲鐘鼓初長夜，,,迟迟钟鼓初长夜，,0,0,8,0,2,8,4,0,22,22
耿耿星河欲曙天。,,耿耿星河欲曙天。,1,0,5,1,1,18,4,0,30,29
鴛鴦瓦冷霜華重，,,鸳鸯瓦冷霜华重，,0,0,8,0,1,20,4,0,33,33
翡翠衾寒誰與共。,,翡翠衾寒谁与共。,0,0,8,1,1,16,4,0,30,29
悠悠生死別經年，,,悠悠生死别经年，,0,0,9,2,4,28,7,0,50,48
魂魄不曾來入夢。,,魂魄不曾来入梦。,0,0,8,0,1,16,4,0,29,29
臨邛道士鴻都客，,,临邛道士鸿都客，,0,0,1,0,0,16,0,0,17,17
能以精誠致魂魄。,,能以精诚致魂魄。,0,1,1,0,0,20,0,0,22,22
爲感君王輾轉思，,,为感君王辗转思，,0,0,1,0,0,0,1,0,2,2
遂教方士殷勤覓。,,遂教方士殷勤觅。,0,0,1,0,0,0,1,0,2,2
排空馭氣奔如電，,,排空驭气奔如电，,0,0,3,0,0,10,0,0,13,13
昇天入地求之遍。,,升天入地求之遍。,0,0,3,0,0,10,0,0,13,13
上窮碧落下黃泉，,,上穷碧落下黄泉，,2,26,125,38,48,64,104,0,407,369
兩處茫茫皆不見。,,两处茫茫皆不见。,1,7,24,9,19,36,16,0,112,103
忽聞海上有仙山，,,忽闻海上有仙山，,0,5,12,3,2,26,9,0,57,54
山在虛無縹渺間。,,山在虚无缥渺间。,0,1,5,0,0,1,3,0,10,10
樓閣玲瓏五雲起，,,楼阁玲珑五云起，,0,1,6,1,0,14,6,0,28,27
其中綽約多仙子。,,其中绰约多仙子。,0,0,8,0,2,22,5,0,37,37
中有一人字太真，,,中有一人字太真，,0,0,2,1,1,14,1,0,19,18
雪膚花貌參差是。,,雪肤花貌参差是。,0,0,1,1,1,27,1,0,31,30
金闕西廂叩玉扃，,,金阙西厢叩玉扃，,0,0,0,0,0,13,0,0,13,13
轉教小玉報雙成。,,转教小玉报双成。,0,0,1,0,0,18,0,0,19,19
聞道漢家天子使，,,闻道汉家天子使，,0,0,2,1,0,20,0,0,23,22
九華帳裏夢魂驚。,,九华帐里梦魂惊。,0,0,2,1,1,18,0,0,22,21
攬衣推枕起徘徊，,,揽衣推枕起徘徊，,0,0,1,1,0,13,0,0,15,14
珠箔銀屏迤邐開。,,珠箔银屏迤逦开。,0,0,1,1,0,8,0,0,10,9
雲鬢半偏新睡覺，,,云鬓半偏新睡觉，,0,0,0,1,1,9,0,0,11,10
花冠不整下堂來。,,花冠不整下堂来。,0,0,2,1,4,19,0,0,26,25
風吹仙袂飄飄舉，,,风吹仙袂飘飖举，,0,0,0,2,0,2,0,0,4,2
猶似霓裳羽衣舞。,,犹似霓裳羽衣舞。,0,0,0,2,1,16,0,0,19,17
玉容寂寞淚闌干，,,玉容寂寞泪阑干，,1,0,5,6,13,41,1,0,67,61
梨花一枝春帶雨。,,梨花一枝春带雨。,1,3,8,10,16,87,4,0,129,119
含情凝睇謝君王，,,含情凝睇谢君王，,0,0,0,1,0,13,0,0,14,13
一別音容兩渺茫。,,一别音容两渺茫。,0,0,2,0,2,16,2,0,22,22
昭陽殿裏恩愛絕，,,昭阳殿里恩爱绝，,0,0,2,1,0,9,0,0,12,11
蓬萊宮中日月長。,,蓬莱宫中日月长。,0,0,0,1,0,19,0,0,20,19
回頭下望人寰處，,,回头下望人寰处，,0,1,1,1,0,11,0,0,14,13
不見長安見塵霧。,,不见长安见尘雾。,0,1,0,1,0,14,0,0,16,15
惟將舊物表深情，,,惟将旧物表深情，,0,0,0,0,0,6,0,0,6,6
鈿合金釵寄將去。,,钿合金钗寄将去。,0,0,1,0,0,11,0,0,12,12
釵留一股合一扇，,,钗留一股合一扇，,0,0,0,1,0,12,0,0,13,12
釵擘黃金合分鈿。,,钗擘黄金合分钿。,0,0,0,0,0,11,0,0,11,11
但教心似金鈿堅，,,但教心似金钿坚，,0,0,0,1,0,4,0,0,5,4
天上人間會相見。,,天上人间会相见。,0,0,0,2,2,12,0,0,16,14
