繁体,分（石）,简体,分（林）,文学,报刊,多领域,微博,学术,古汉语,篇章检索,HSK,BCC
漁陽鼙鼓動地來，,1,渔阳鼙鼓动地来，,1,0,8,1,3,7,36,0,0,55
驚破霓裳羽衣曲。,1,惊破霓裳羽衣曲，,1,0,4,3,1,6,43,1,0,58
九重城闕煙塵生，,1,九重城阙烟尘生，,1,0,0,1,0,1,19,0,0,21
千乘萬騎西南行。,1,千乘万骑西南行。,1,0,0,1,0,5,13,0,0,19
翠華搖搖行復止，,1,翠华摇摇行复止，,1,0,0,1,0,1,12,0,0,14
西出都門百餘里。,1,西出都门百余里。,1,0,0,1,0,0,17,0,0,18
六軍不發無奈何，,1,六军不发无奈何，,1,0,1,5,0,9,32,4,0,51
宛轉蛾眉馬前死。,1,宛转蛾眉马前死。,1,0,2,2,0,9,38,0,0,51
花鈿委地無人收，,1,花钿委地无人收，,1,0,2,0,0,1,21,0,0,24
翠翹金雀玉搔頭。,1,翠翘金雀玉搔头。,1,0,0,1,1,1,20,0,0,23
君王掩面救不得，,1,君王掩面救不得，,1,0,0,4,0,7,23,0,0,34
回看血淚相和流。,1,回看血泪相和流。,1,0,0,6,0,7,6,2,0,21
黃埃散漫風蕭索，,1,黄埃散漫风萧索，,1,0,0,2,0,3,18,0,0,23
雲棧縈紆登劍閣。,1,云栈萦纡登剑阁。,1,0,0,3,0,0,7,0,0,10
峨嵋山下少人行，,1,峨嵋山下少人行，,1,0,0,1,0,0,16,0,0,17
旌旗無光日色薄。,1,旌旗无光日色薄。,1,0,0,2,0,0,31,0,0,33
蜀江水碧蜀山青，,1,蜀江水碧蜀山青，,1,0,4,4,0,4,17,2,0,31
聖主朝朝暮暮情。,1,圣主朝朝暮暮情。,1,0,0,2,0,5,15,0,0,22
行宮見月傷心色，,1,行宫见月伤心色，,1,0,1,5,0,8,19,3,0,36
夜雨聞鈴腸斷聲。,1,夜雨闻铃肠断声。,1,4,1,4,0,7,16,2,0,34
天旋地轉回龍馭，,1,天旋地转回龙驭，,1,0,0,1,0,0,1,0,0,2
到此躊躇不能去。,1,到此踌躇不能去。,1,0,0,1,0,2,2,18,0,23
馬嵬坡下泥土中，,1,马嵬坡下泥土中，,1,0,0,1,0,0,14,0,0,15
不見玉顏空死處。,1,不见玉颜空死处。,1,0,0,3,0,1,14,0,0,18
君臣相顧盡沾衣，,1,君臣相顾尽沾衣，,1,0,0,2,0,2,16,0,0,20
東望都門信馬歸。,1,东望都门信马归。,1,0,0,1,0,3,19,0,0,23
歸來池苑皆依舊，,1,归来池苑皆依旧，,1,0,0,2,1,1,20,1,0,25
太液芙蓉未央柳。,1,太液芙蓉未央柳。,1,1,0,5,1,2,11,4,0,24
芙蓉如面柳如眉，,6,芙蓉如面柳如眉，,2,0,2,22,16,8,54,14,0,116
